transport,country,count
CAR,RO,2483
MOTORBIKE,GE,1801
MOTORBIKE,ES,1772
BICYCLE,ES,134
BICYCLE,UA,1301
MOTORBIKE,ES,1253
MOTORBIKE,MA,987
CAR,GE,893
CAR,RS,858
BICYCLE,RO,788
BICYCLE,KZ,785
CAR,ES,724
BICYCLE,IT,716
CAR,PL,697
CAR,BG,676
CAR,UA,662
MOTORBIKE,GH,638
BICYCLE,UA,632
MOTORBIKE,PT,623
MOTORBIKE,IT,606
MOTORBIKE,KZ,585
WALKER,KZ,563
CAR,HR,560
BICYCLE,ES,558
MOTORBIKE,KE,521
BICYCLE,IT,514
MOTORBIKE,CI,502
MOTORBIKE,UA,487
BICYCLE,UA,471
MOTORBIKE,RO,432
MOTORBIKE,IT,420
MOTORBIKE,ES,420
MOTORBIKE,MA,403
BICYCLE,UA,398
CAR,IT,390
BICYCLE,IT,384
CAR,PL,383
CAR,UA,371
WALKER,KZ,341
CAR,PL,329
BICYCLE,UA,329
BICYCLE,PL,321
CAR,RO,321
MOTORBIKE,UA,310
CAR,UA,299
BICYCLE,HR,296
BICYCLE(e),ES,291
BICYCLE,PT,277
CAR,PL,274
BICYCLE,ES,271
BICYCLE(e),IT,261
CAR,KZ,252
BICYCLE,UA,248
CAR,RO,248
CAR,MD,243
BICYCLE(e),ES,240
MOTORBIKE,IT,239
CAR,RO,233
MOTORBIKE,PT,231
MOTORBIKE,ES,225
CAR,PL,220
CAR,RO,217
WALKER,UA,209
BICYCLE,ES,203
CAR,UA,196
MOTORBIKE,RS,195
MOTORBIKE,CI,195
CAR,RO,194
BICYCLE,PL,193
CAR,RO,193
MOTORBIKE(e),IT,192
BICYCLE,KG,189
BICYCLE,RS,187
MOTORBIKE,UG,186
CAR,KZ,186
MOTORBIKE,ES,173
CAR,PL,170
WALKER,UA,168
MOTORBIKE,ES,167
MOTORBIKE,MA,166
MOTORBIKE,ES,165
BICYCLE,KZ,163
CAR,SI,161
MOTORBIKE,IT,157
CAR,BG,152
CAR,ME,151
MOTORBIKE,ES,151
MOTORBIKE,ES,149
CAR,ES,148
CAR,IT,145
MOTORBIKE,PL,144
BICYCLE,GH,142
BICYCLE,PL,139
BICYCLE,PL,138
BICYCLE,SI,133
CAR,IT,133
MOTORBIKE,ES,132
MOTORBIKE,MA,131
CAR,ES,129
BICYCLE,RO,127
WALKER,UA,127
BICYCLE,PL,126
BICYCLE(e),IT,126
CAR,PL,124
MOTORBIKE,UA,124
MOTORBIKE,GE,123
MOTORBIKE,IT,122
MOTORBIKE,UA,122
MOTORBIKE(e),ES,122
BICYCLE,UA,121
MOTORBIKE(e),ES,119
CAR,BA,118
WALKER,KG,117
BICYCLE,RS,115
CAR,UA,112
MOTORBIKE,MA,112
CAR,BG,111
MOTORBIKE,PT,110
BICYCLE,PL,106
WALKER,ES,105
BICYCLE,IT,105
CAR,RS,101
MOTORBIKE,UA,100
BICYCLE,IT,100
CAR,PL,100
CAR,PT,99
MOTORBIKE,ES,97
MOTORBIKE,ES,97
CAR,HR,97
BICYCLE(e),IT,94
CAR,ES,94
CAR,KZ,94
CAR,RS,92
MOTORBIKE,ES,89
MOTORBIKE,PT,88
CAR,PL,88
CAR,UA,87
CAR,RO,87
BICYCLE,BG,85
BICYCLE(e),UA,85
BICYCLE,UA,85
CAR,RO,85
MOTORBIKE,ES,84
CAR,RO,82
MOTORBIKE,PL,82
CAR,UA,82
MOTORBIKE,ES,81
CAR,PL,81
MOTORBIKE,PT,80
BICYCLE,RO,80
BICYCLE,GE,79
BICYCLE,IT,78
MOTORBIKE,KZ,78
CAR,BA,77
CAR,PT,77
MOTORBIKE,ES,77
CAR,ES,77
BICYCLE(e),RO,76
BICYCLE,ES,76
BICYCLE,KZ,76
CAR,PL,75
CAR,GE,74
CAR,PL,74
MOTORBIKE,ES,73
BICYCLE,UA,73
MOTORBIKE,ES,73
MOTORBIKE,IT,72
MOTORBIKE(e),IT,72
WALKER,ES,72
BICYCLE,UA,71
CAR,ES,71
BICYCLE,ES,70
BICYCLE,RS,70
MOTORBIKE,IT,70
BICYCLE(e),PT,70
MOTORBIKE,NG,70
CAR,RO,69
MOTORBIKE,CI,69
BICYCLE,RO,68
BICYCLE,ES,68
MOTORBIKE,ES,68
MOTORBIKE,ES,68
BICYCLE(e),KZ,67
CAR,HR,67
MOTORBIKE,ES,66
CAR,ES,66
BICYCLE,UA,65
CAR,HR,65
CAR,RO,65
CAR,IT,64
MOTORBIKE,MA,64
BICYCLE,IT,61
CAR,RO,61
MOTORBIKE,MA,61
BICYCLE,PT,61
CAR,ES,60
CAR,BG,60
MOTORBIKE,IT,59
MOTORBIKE,PL,59
CAR,KG,59
BICYCLE,ES,58
BICYCLE,IT,58
MOTORBIKE,ES,57
CAR,ES,57
BICYCLE,IT,57
CAR,ES,56
BICYCLE(e),ES,56
CAR,PL,55
CAR,GE,55
BICYCLE,IT,55
CAR(e),RS,54
CAR,KZ,54
MOTORBIKE,UA,54
MOTORBIKE,UA,53
CAR,PL,53
CAR,HR,52
CAR,SI,51
CAR,PL,50
MOTORBIKE,ES,50
MOTORBIKE,MA,49
CAR,ES,49
MOTORBIKE,ES,49
CAR,IT,48
BICYCLE,ES,48
BICYCLE,HR,48
CAR,ES,48
BICYCLE,IT,47
MOTORBIKE,PT,47
CAR,RO,47
CAR,IT,47
MOTORBIKE,SI,47
MOTORBIKE,HR,47
MOTORBIKE(e),KZ,47
BICYCLE,PL,46
BICYCLE,PL,46
MOTORBIKE,KE,46
CAR,ES,46
MOTORBIKE,ES,46
MOTORBIKE,GH,45
MOTORBIKE,RO,45
CAR,ES,45
BICYCLE(e),UA,45
CAR,PL,45
CAR,ES,44
WALKER,UA,44
CAR,PT,44
BICYCLE,IT,44
MOTORBIKE,ES,44
MOTORBIKE,ES,44
CAR,PL,44
CAR,RO,44
CAR,ES,43
CAR,PL,43
CAR,RO,43
CAR,IT,42
BICYCLE,UA,42
CAR,ES,42
CAR,ES,42
BICYCLE,IT,42
BICYCLE,UA,42
CAR(e),ES,42
MOTORBIKE,ES,42
BICYCLE,MD,41
BICYCLE,PL,41
CAR,BG,41
BICYCLE,ES,41
CAR,BG,41
CAR,RO,41
MOTORBIKE,BG,40
MOTORBIKE,PT,40
CAR,ES,40
BICYCLE,UA,39
BICYCLE,UA,39
CAR,PL,39
BICYCLE,ES,39
CAR,PL,39
BICYCLE(e),ES,39
BICYCLE,PL,39
MOTORBIKE,ES,38
MOTORBIKE,PT,38
CAR,KZ,38
CAR,KZ,38
CAR,HR,38
CAR,UA,37
CAR,RO,37
MOTORBIKE,ES,37
BICYCLE,UA,36
MOTORBIKE,MA,36
BICYCLE,IT,36
BICYCLE,UA,36
MOTORBIKE,ES,36
CAR,HR,36
BICYCLE,KZ,35
MOTORBIKE,MA,35
MOTORBIKE,PT,35
CAR,GE,35
BICYCLE,ES,35
CAR,PL,35
BICYCLE,KE,35
BICYCLE,UA,35
CAR,ES,35
MOTORBIKE,IT,34
CAR,IT,34
CAR,IT,34
MOTORBIKE,UA,34
MOTORBIKE,RO,34
BICYCLE,IT,34
MOTORBIKE,MA,34
CAR,KE,34
BICYCLE,UA,34
CAR,UA,34
MOTORBIKE,PL,34
CAR,KZ,33
MOTORBIKE,ES,33
BICYCLE,IT,33
MOTORBIKE,UA,33
CAR,PL,32
CAR,IT,32
CAR,PT,32
CAR,IT,32
CAR,BG,32
CAR,PL,32
MOTORBIKE,PT,32
CAR,ES,32
CAR,BG,32
CAR,IT,31
CAR,PL,31
MOTORBIKE,ES,31
BICYCLE,UA,31
BICYCLE,ES,31
CAR,IT,31
CAR,UA,31
CAR,PT,31
MOTORBIKE,RO,31
CAR,RS,30
MOTORBIKE(e),PT,30
MOTORBIKE(e),RO,30
BICYCLE,IT,30
MOTORBIKE,UA,30
CAR(e),IT,30
WALKER,UA,30
CAR,BG,30
BICYCLE,ES,29
BICYCLE,PT,29
CAR,PL,29
MOTORBIKE,HR,29
BICYCLE,ES,29
CAR,HR,29
MOTORBIKE,PL,29
MOTORBIKE,MA,29
MOTORBIKE,RO,29
CAR,ES,29
CAR,BG,29
MOTORBIKE,ES,28
CAR,IT,28
MOTORBIKE,UA,28
BICYCLE,BG,28
BICYCLE,KZ,28
CAR,ES,28
CAR,AM,28
CAR,IT,28
CAR,ES,27
MOTORBIKE(e),UA,27
MOTORBIKE,IT,27
BICYCLE,PT,27
BICYCLE,UA,27
MOTORBIKE,ES,27
CAR,PT,27
CAR,RO,27
BICYCLE,ES,27
MOTORBIKE,ES,27
BICYCLE,ES,27
CAR,ES,27
WALKER,IT,27
MOTORBIKE,KE,27
BICYCLE,SI,26
CAR,IT,26
BICYCLE(e),MD,26
MOTORBIKE,IT,26
BICYCLE,UA,26
CAR,BG,26
BICYCLE,IT,26
BICYCLE(e),IT,26
MOTORBIKE,IT,26
CAR,KZ,26
CAR,IT,26
MOTORBIKE,IT,26
BICYCLE,IT,26
WALKER,PT,26
CAR,PT,26
BICYCLE(e),RS,26
CAR,ES,26
MOTORBIKE,KG,25
CAR,IT,25
BICYCLE,ES,25
CAR,IT,25
BICYCLE,UA,25
CAR,IT,25
BICYCLE,IT,25
CAR,IT,25
CAR,RO,25
BICYCLE,ES,25
WALKER,UA,25
CAR,ES,24
MOTORBIKE,ES,24
CAR,IT,24
MOTORBIKE(e),IT,24
MOTORBIKE,ES,24
CAR,ES,24
CAR,SI,24
BICYCLE,ES,24
BICYCLE(e),UA,24
CAR,IT,24
CAR,IT,24
MOTORBIKE,ES,24
MOTORBIKE(e),ES,24
CAR,IT,24
MOTORBIKE,MA,24
CAR,IT,24
WALKER,KZ,23
BICYCLE,ES,23
BICYCLE(e),UA,23
CAR,PL,23
MOTORBIKE,ES,23
CAR,PT,23
CAR,PL,23
MOTORBIKE,UA,23
CAR,PL,23
BICYCLE,IT,23
MOTORBIKE,IT,23
CAR,IT,23
BICYCLE,BG,23
CAR,PT,22
CAR,PL,22
CAR,ES,22
MOTORBIKE,PT,22
CAR,UA,22
MOTORBIKE,ES,22
CAR,PT,22
CAR,ES,22
CAR,IT,22
BICYCLE,PT,22
MOTORBIKE,ES,22
CAR,RO,22
CAR,PT,22
CAR,IT,22
BICYCLE,ES,22
CAR,RS,22
CAR,PL,22
CAR,BY,22
CAR,IT,21
MOTORBIKE,ES,21
CAR,UA,21
CAR,BG,21
MOTORBIKE,PT,21
CAR,UA,21
BICYCLE,KZ,21
MOTORBIKE,ES,21
MOTORBIKE,ES,21
CAR,ES,21
BICYCLE,PL,21
CAR,IT,21
CAR,UA,21
CAR,PL,21
BICYCLE,IT,21
BICYCLE,ES,21
CAR,PL,21
MOTORBIKE,ES,21
CAR,ES,21
MOTORBIKE,IT,21
CAR,RO,21
CAR,PT,21
BICYCLE,IT,21
CAR,IT,20
CAR,IT,20
BICYCLE,IT,20
CAR,PT,20
MOTORBIKE,PT,20
BICYCLE,UA,20
MOTORBIKE,ES,20
CAR,UA,20
BICYCLE,IT,20
BICYCLE,IT,20
MOTORBIKE,ES,20
CAR,MD,20
CAR,ES,20
CAR,ES,20
CAR,IT,20
BICYCLE(e),IT,19
MOTORBIKE,IT,19
CAR,ES,19
BICYCLE,IT,19
CAR,ES,19
BICYCLE,UA,19
CAR,PL,19
CAR,BG,19
BICYCLE,HR,19
BICYCLE,PL,19
BICYCLE(e),ES,19
CAR,HR,19
BICYCLE,IT,19
BICYCLE,UA,19
BICYCLE,IT,19
MOTORBIKE,ES,19
CAR,ME,19
CAR,ES,18
CAR,IT,18
BICYCLE,IT,18
MOTORBIKE,ES,18
CAR,PL,18
MOTORBIKE,UA,18
CAR(e),RO,18
CAR,PL,18
MOTORBIKE(e),GH,18
BICYCLE,RO,18
CAR,KZ,18
BICYCLE,HR,18
CAR,IT,18
CAR,PT,18
MOTORBIKE,RS,18
BICYCLE,KZ,18
MOTORBIKE,ES,18
MOTORBIKE(e),ES,18
WALKER,KZ,18
BICYCLE,IT,18
MOTORBIKE,AM,18
BICYCLE(e),IT,18
CAR(e),UA,18
MOTORBIKE,PT,18
MOTORBIKE(e),IT,17
MOTORBIKE,ES,17
MOTORBIKE(e),IT,17
CAR,PL,17
CAR,UA,17
BICYCLE(e),PL,17
CAR,IT,17
MOTORBIKE,ES,17
MOTORBIKE(e),ES,17
MOTORBIKE,ES,17
CAR,IT,17
BICYCLE(e),UA,17
CAR,UA,17
CAR,IT,17
CAR,BG,17
MOTORBIKE,ES,17
BICYCLE,IT,17
CAR,ES,17
BICYCLE,PT,17
CAR,IT,16
MOTORBIKE,ES,16
MOTORBIKE,IT,16
CAR,PT,16
MOTORBIKE,PT,16
MOTORBIKE,ES,16
CAR,PT,16
CAR,IT,16
BICYCLE,PL,16
BICYCLE,ES,16
BICYCLE,IT,16
BICYCLE,UA,16
MOTORBIKE,UA,16
MOTORBIKE,ES,16
CAR(e),IT,16
CAR,RO,16
BICYCLE,HR,16
CAR,ES,16
BICYCLE,ES,16
BICYCLE,IT,16
CAR,RO,16
MOTORBIKE,NG,16
CAR,RO,16
CAR,BA,16
CAR,ES,16
MOTORBIKE,ES,16
WALKER,KZ,16
MOTORBIKE(e),ES,16
BICYCLE(e),IT,16
MOTORBIKE(e),UA,16
BICYCLE,PT,16
CAR,RS,15
CAR,IT,15
MOTORBIKE,ES,15
MOTORBIKE,MA,15
CAR,PL,15
CAR,IT,15
BICYCLE(e),IT,15
CAR,RS,15
BICYCLE,PL,15
MOTORBIKE,IT,15
CAR,RO,15
BICYCLE(e),IT,15
CAR,IT,15
BICYCLE,RO,15
WALKER,KZ,15
CAR,ES,15
CAR,IT,15
MOTORBIKE,ES,15
CAR,IT,15
MOTORBIKE,UA,15
CAR,UA,15
CAR,PL,15
CAR,RO,15
BICYCLE,GE,15
BICYCLE,ES,15
BICYCLE,PT,15
MOTORBIKE,ES,15
MOTORBIKE,PT,15
MOTORBIKE,IT,15
BICYCLE(e),UA,15
MOTORBIKE,HR,15
MOTORBIKE,ES,15
CAR,UA,15
BICYCLE,ES,15
CAR,PT,14
MOTORBIKE,IT,14
MOTORBIKE,RO,14
CAR,PL,14
BICYCLE,IT,14
CAR,ES,14
CAR,IT,14
CAR,RO,14
CAR,IT,14
CAR,PL,14
MOTORBIKE,PT,14
BICYCLE,ES,14
BICYCLE,KZ,14
MOTORBIKE,ES,14
CAR,PT,14
MOTORBIKE,ES,14
BICYCLE(e),ES,14
BICYCLE,BA,14
BICYCLE,PT,14
MOTORBIKE,IT,14
BICYCLE,ES,14
MOTORBIKE,PL,14
CAR,IT,14
BICYCLE,IT,14
BICYCLE(e),ES,14
CAR,IT,14
MOTORBIKE(e),PL,14
MOTORBIKE,ES,14
BICYCLE,ES,14
CAR,ES,14
MOTORBIKE(e),ES,14
CAR,ES,14
MOTORBIKE,PT,14
CAR,ES,14
CAR(e),RS,14
BICYCLE,PL,13
BICYCLE,PT,13
MOTORBIKE(e),RS,13
CAR,IT,13
CAR,IT,13
MOTORBIKE(e),ES,13
BICYCLE,IT,13
BICYCLE,PT,13
BICYCLE,ES,13
MOTORBIKE(e),ES,13
CAR,ES,13
BICYCLE,PL,13
CAR,IT,13
CAR,HR,13
BICYCLE,PL,13
CAR,HR,13
MOTORBIKE(e),KE,13
CAR,PL,13
MOTORBIKE,IT,13
BICYCLE(e),ES,13
CAR,IT,13
CAR,IT,13
BICYCLE,PT,13
WALKER,KZ,13
CAR,RO,13
BICYCLE,IT,13
CAR,ES,13
MOTORBIKE,ES,13
MOTORBIKE,IT,13
CAR,PT,12
BICYCLE(e),IT,12
BICYCLE,ES,12
CAR,ES,12
BICYCLE,IT,12
MOTORBIKE,PT,12
CAR,PL,12
MOTORBIKE,MD,12
MOTORBIKE,ES,12
BICYCLE,IT,12
CAR,PL,12
CAR,PL,12
CAR,IT,12
CAR,RO,12
MOTORBIKE,HR,12
CAR,ES,12
CAR,PL,12
MOTORBIKE,ES,12
BICYCLE(e),IT,12
CAR,IT,12
CAR,PL,12
BICYCLE,PL,12
MOTORBIKE,IT,12
CAR,RO,12
BICYCLE,AM,12
BICYCLE,HR,12
BICYCLE(e),PL,12
MOTORBIKE,MA,12
BICYCLE,IT,12
MOTORBIKE,HR,12
CAR,IT,12
WALKER,HR,12
CAR,IT,12
MOTORBIKE,UA,12
CAR,PL,12
MOTORBIKE,PT,12
BICYCLE,HR,12
CAR,PL,12
MOTORBIKE,ES,12
CAR,ES,12
BICYCLE,PT,12
CAR,IT,12
CAR,PL,12
CAR,IT,12
CAR,ES,12
MOTORBIKE,IT,12
MOTORBIKE,GE,12
BICYCLE(e),ES,12
BICYCLE(e),IT,12
BICYCLE(e),IT,12
CAR,IT,12
CAR,UA,12
CAR,PL,12
BICYCLE,PT,12
CAR,PT,12
BICYCLE,IT,12
MOTORBIKE,ES,11
CAR,IT,11
BICYCLE,ME,11
CAR,IT,11
CAR,ES,11
BICYCLE(e),RS,11
MOTORBIKE(e),GE,11
MOTORBIKE,PT,11
BICYCLE(e),IT,11
MOTORBIKE,IT,11
MOTORBIKE,RO,11
BICYCLE,HR,11
CAR,PL,11
MOTORBIKE(e),UA,11
MOTORBIKE,ES,11
CAR,ES,11
BICYCLE,PT,11
BICYCLE,ES,11
CAR,IT,11
CAR,PT,11
MOTORBIKE,IT,11
CAR,PL,11
CAR,IT,11
CAR,ME,11
BICYCLE,IT,11
BICYCLE,PT,11
BICYCLE(e),IT,11
BICYCLE(e),ES,11
CAR,ES,11
BICYCLE,PT,11
MOTORBIKE,PT,11
CAR,IT,11
CAR,IT,11
MOTORBIKE,IT,11
MOTORBIKE(e),ES,11
CAR,PL,11
MOTORBIKE,IT,11
MOTORBIKE,KE,11
CAR,PL,11
CAR,ES,11
CAR,IT,11
BICYCLE,RO,11
BICYCLE,PL,11
CAR,PL,11
BICYCLE,IT,11
CAR,PT,11
MOTORBIKE,KZ,11
BICYCLE(e),PT,11
CAR,IT,11
CAR(e),PL,11
CAR,IT,11
CAR,IT,11
MOTORBIKE,ES,11
MOTORBIKE,IT,11
BICYCLE,IT,11
BICYCLE(e),ES,11
CAR,KZ,11
CAR,IT,10
CAR,IT,10
MOTORBIKE,UA,10
CAR,RO,10
BICYCLE(e),UA,10
MOTORBIKE,IT,10
BICYCLE(e),ES,10
CAR,RO,10
BICYCLE(e),HR,10
MOTORBIKE,ES,10
CAR,HR,10
CAR,PL,10
CAR,ES,10
BICYCLE,IT,10
MOTORBIKE,SI,10
CAR,IT,10
CAR,PT,10
BICYCLE(e),ES,10
BICYCLE(e),PL,10
CAR,ES,10
MOTORBIKE(e),MA,10
CAR,PT,10
BICYCLE,IT,10
BICYCLE,HR,10
CAR,IT,10
MOTORBIKE,ES,10
CAR,PT,10
BICYCLE,IT,10
MOTORBIKE,ES,10
CAR,RO,10
CAR,IT,10
BICYCLE(e),PL,10
CAR,ES,10
BICYCLE,IT,10
CAR,PL,10
CAR,IT,10
CAR,UA,10
BICYCLE,IT,10
MOTORBIKE,RO,10
MOTORBIKE,PL,10
CAR,UA,10
MOTORBIKE,IT,10
CAR,PL,10
CAR,SI,10
MOTORBIKE,PT,10
CAR,ES,10
BICYCLE,UA,10
CAR,ES,10
CAR,IT,10
CAR,BA,10
BICYCLE,PL,10
BICYCLE,ES,10
CAR,ES,10
BICYCLE(e),ES,10
BICYCLE,PL,10
BICYCLE,UA,10
CAR,UA,10
MOTORBIKE(e),IT,10
BICYCLE(e),RO,10
CAR,ES,10
MOTORBIKE,ES,10
BICYCLE,ES,10
BICYCLE,ES,10
CAR,IT,10
CAR,RO,9
WALKER,IT,9
CAR,HR,9
CAR,PT,9
MOTORBIKE,PT,9
CAR,RS,9
MOTORBIKE,PT,9
MOTORBIKE,IT,9
CAR,ES,9
CAR,IT,9
BICYCLE,ES,9
BICYCLE(e),IT,9
CAR(e),HR,9
BICYCLE,IT,9
MOTORBIKE(e),UA,9
CAR,PL,9
MOTORBIKE,IT,9
BICYCLE(e),IT,9
BICYCLE,ES,9
CAR,ES,9
MOTORBIKE(e),PL,9
CAR,RO,9
MOTORBIKE,PT,9
CAR,ES,9
MOTORBIKE,MA,9
MOTORBIKE,ES,9
WALKER,IT,9
BICYCLE,ES,9
CAR,ES,9
CAR,ES,9
BICYCLE,PT,9
CAR,UA,9
BICYCLE,ES,9
CAR,IT,9
CAR,ES,9
CAR,IT,9
CAR,PL,9
CAR,ES,9
CAR,IT,9
BICYCLE,IT,9
BICYCLE(e),BG,9
CAR,IT,9
BICYCLE(e),ES,9
MOTORBIKE,ES,9
MOTORBIKE,UA,9
BICYCLE,PT,9
CAR,BA,9
MOTORBIKE,ES,9
BICYCLE,PL,9
BICYCLE,PL,9
BICYCLE,UA,9
CAR,ES,9
BICYCLE,IT,9
BICYCLE,IT,9
BICYCLE,RO,9
CAR,ES,9
BICYCLE,IT,9
BICYCLE,BG,9
CAR,IT,9
CAR,PL,9
MOTORBIKE(e),ES,9
CAR,ES,9
CAR,PL,9
MOTORBIKE,PT,9
BICYCLE,PL,9
CAR(e),IT,9
CAR,ES,9
CAR,UA,9
BICYCLE,IT,9
MOTORBIKE,KE,9
MOTORBIKE,CI,9
MOTORBIKE(e),ES,9
CAR,PL,9
CAR,UA,9
CAR,IT,9
BICYCLE,PL,9
CAR,UA,9
BICYCLE(e),IT,9
MOTORBIKE,GE,9
CAR,HR,9
CAR,IT,9
BICYCLE,ES,9
BICYCLE(e),IT,9
BICYCLE,PT,9
MOTORBIKE,ES,8
MOTORBIKE,PL,8
CAR,IT,8
CAR,IT,8
CAR,ES,8
MOTORBIKE,ES,8
CAR,PT,8
CAR,IT,8
CAR,ES,8
CAR,ES,8
CAR,IT,8
BICYCLE,IT,8
CAR,GE,8
MOTORBIKE,IT,8
MOTORBIKE,ES,8
MOTORBIKE,MA,8
MOTORBIKE,ES,8
CAR,RO,8
BICYCLE(e),ES,8
CAR,UA,8
CAR,HR,8
WALKER,BY,8
MOTORBIKE,ES,8
MOTORBIKE,ES,8
CAR,PL,8
MOTORBIKE,HR,8
CAR,ES,8
BICYCLE,KG,8
CAR,IT,8
CAR,ES,8
CAR,IT,8
CAR,PL,8
WALKER,KZ,8
BICYCLE(e),IT,8
BICYCLE,PL,8
CAR,KG,8
BICYCLE(e),IT,8
CAR,RO,8
CAR(e),KZ,8
CAR(e),PL,8
CAR,IT,8
MOTORBIKE,UA,8
BICYCLE,IT,8
MOTORBIKE,PT,8
BICYCLE,IT,8
CAR,GE,8
BICYCLE,IT,8
BICYCLE(e),IT,8
MOTORBIKE,IT,8
MOTORBIKE,ES,8
CAR,IT,8
CAR,IT,8
CAR,HR,8
CAR,PL,8
CAR,ES,8
MOTORBIKE,SI,8
MOTORBIKE,UA,8
CAR,IT,8
